GENEOS Status Report,
Monday 20 Jul 2015 17:38:00,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,GBP,3737.14,FTSE 350 INDEX  ,3738.61,1.47,3737.14,14:59:9,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
PAYP.L,PAYPOINT        ,1002,1000,0.2,14:58:34,Ok,RealTime,41712,1,
PCT.L,POLAR CAP  TECH ,590.3,587.65,-0.676,14:44:43,Ok,RealTime,37888,1,
PDL.L,PETRA DIAMONDS  ,148.2,146.449604,0.135,14:58:53,Ok,RealTime,9568,2,
PETSP.L,PETS AT HOME    ,300.5,296.3,0.233,14:57:51,Ok,RealTime,19472,1,
PFC.L,PETROFAC        ,893,867,0.168,14:59:6,Ok,RealTime,27696,7,
PFG.L,PROVIDENT FINCL ,2956,2956,0.237,14:58:30,Ok,RealTime,25408,1,
PFL.L,PREMIER FARNELL ,166.8,172.8,-3.416,14:54:32,Ok,RealTime,26656,1,
PHNX.L,PHOENIX GRP     ,834.53,824,0.18,14:58:41,Ok,RealTime,60848,1,
PIC.L,PACE            ,372.3,367.7,-1.089,14:58:38,Ok,RealTime,60208,2,
PLI.L,PERP INC&GWTH IT,422.929,408,0.024,14:52:49,Ok,RealTime,35168,3,
PLND.L,POUNDLAND       ,339.5,338.312,0.147,14:58:34,Ok,RealTime,37056,1,
PMO.L,PREMIER OIL     ,146.3,141.9,1.036,14:58:46,Ok,RealTime,3696,2,
PNL.L,PERSONAL ASSETS ,34666,34319.88,0.99,14:38:7,Ok,RealTime,33152,1,
PNN.L,PENNON GROUP    ,812.7971,810.5,0.494,14:59:8,Ok,RealTime,36974,1,
POLYP.L,POLYMETAL INT   ,501,496.5,-0.89,14:58:34,Ok,RealTime,7088,1,
PRU.L,PRUDENTIAL      ,1617.5,1603.5,-0.031,14:59:7,Ok,RealTime,29200,10,
PSN.L,PERSIMMON       ,2003,1988,1.009,14:59:7,Ok,RealTime,59280,4,
PSON.L,PEARSON         ,1230,1236,-0.081,14:59:1,Ok,RealTime,18976,1,
PTEC.L,PLAYTECH        ,883.5,849,1.145,14:58:15,Ok,RealTime,63184,1,
PZC.L,PZ CUSSONS      ,352.4,364.925926,-3.9,14:58:39,Ok,RealTime,49744,3,
QQ.L,QINETIQ GRP     ,231.5,229.6,-0.43,14:59:2,Ok,RealTime,51840,6,
RAT.L,RATHBONE BROS   ,2140,2093,0.047,14:58:34,Ok,RealTime,26896,2,
RB.L,RECKIT BNCSR GRP,5908,5827,0.819,14:59:7,Ok,RealTime,44640,9,
RBS.L,ROYAL BANK SCOT ,356.2,345.1,0.907,14:58:39,Ok,RealTime,53008,3,
